Region,Regional Champ,Regional Final,Regional Semifinals,Second Round,First Round
West,Gonzaga,Gonzaga,Gonzaga,Gonzaga,Gonzaga
West,Gonzaga,Gonzaga,Gonzaga,Gonzaga,Norfolk State
West,Gonzaga,Gonzaga,Gonzaga,Oklahoma,Oklahoma
West,Gonzaga,Gonzaga,Gonzaga,Oklahoma,Missouri
West,Gonzaga,Gonzaga,Creighton,Creighton,Creighton
West,Gonzaga,Gonzaga,Creighton,Creighton,UCSB
West,Gonzaga,Gonzaga,Creighton,Ohio,Virginia
West,Gonzaga,Gonzaga,Creighton,Ohio,Ohio
West,Gonzaga,USC,USC,USC,USC
West,Gonzaga,USC,USC,USC,Drake
West,Gonzaga,USC,USC,Kansas,Kansas
West,Gonzaga,USC,USC,Kansas,Eastern Washington
West,Gonzaga,USC,Oregon,Oregon,Oregon
West,Gonzaga,USC,Oregon,Oregon,VCU
West,Gonzaga,USC,Oregon,Iowa,Iowa
West,Gonzaga,USC,Oregon,Iowa,Grand Canyon
East,UCLA,Michigan,Michigan,Michigan,Michigan
East,UCLA,Michigan,Michigan,Michigan,Texas Southern
East,UCLA,Michigan,Michigan,LSU,LSU
East,UCLA,Michigan,Michigan,LSU,St. Bonaventure
East,UCLA,Michigan,Florida St.,Colorado,Colorado
East,UCLA,Michigan,Florida St.,Colorado,Georgetown
East,UCLA,Michigan,Florida St.,Florida St.,Florida St.
East,UCLA,Michigan,Florida St.,Florida St.,UNC Greensboro
East,UCLA,UCLA,UCLA,UCLA,BYU
East,UCLA,UCLA,UCLA,UCLA,UCLA
East,UCLA,UCLA,UCLA,Abil. Christian,Texas
East,UCLA,UCLA,UCLA,Abil. Christian,Abil. Christian
East,UCLA,UCLA,Alabama,Maryland,Uconn
East,UCLA,UCLA,Alabama,Maryland,Maryland
East,UCLA,UCLA,Alabama,Alabama,Alabama
East,UCLA,UCLA,Alabama,Alabama,Iona
South,Baylor,Baylor,Baylor,Baylor,Baylor
South,Baylor,Baylor,Baylor,Baylor,Hartford
South,Baylor,Baylor,Baylor,Wisconsin,North Carolina
South,Baylor,Baylor,Baylor,Wisconsin,Wisconsin
South,Baylor,Baylor,Villanova,Villanova,Villanova
South,Baylor,Baylor,Villanova,Villanova,Winthrop
South,Baylor,Baylor,Villanova,North Texas,Purdue
South,Baylor,Baylor,Villanova,North Texas,North Texas
South,Baylor,Arkansas,Arkansas,Texas Tech,Texas Tech
South,Baylor,Arkansas,Arkansas,Texas Tech,Utah St.
South,Baylor,Arkansas,Arkansas,Arkansas,Arkansas
South,Baylor,Arkansas,Arkansas,Arkansas,Colgate
South,Baylor,Arkansas,Oral Roberts,Florida,Florida
South,Baylor,Arkansas,Oral Roberts,Florida,Virginia Tech
South,Baylor,Arkansas,Oral Roberts,Oral Roberts,Ohio St.
South,Baylor,Arkansas,Oral Roberts,Oral Roberts,Oral Roberts
Midwest,Houston,Loyola Chicago,Loyola Chicago,Illinois,Illinois
Midwest,Houston,Loyola Chicago,Loyola Chicago,Illinois,Drexel
Midwest,Houston,Loyola Chicago,Loyola Chicago,Loyola Chicago,Loyola Chicago
Midwest,Houston,Loyola Chicago,Loyola Chicago,Loyola Chicago,Georgia Tech
Midwest,Houston,Loyola Chicago,Oregon St.,Oregon St.,Tennessee
Midwest,Houston,Loyola Chicago,Oregon St.,Oregon St.,Oregon St.
Midwest,Houston,Loyola Chicago,Oregon St.,Oklahoma St.,Oklahoma St.
Midwest,Houston,Loyola Chicago,Oregon St.,Oklahoma St.,Liberty
Midwest,Houston,Houston,Syracuse,Syracuse,San Diego St.
Midwest,Houston,Houston,Syracuse,Syracuse,Syracuse
Midwest,Houston,Houston,Syracuse,West Virginia,West Virginia
Midwest,Houston,Houston,Syracuse,West Virginia,Morehead St.
Midwest,Houston,Houston,Houston,Rutgers,Clemson
Midwest,Houston,Houston,Houston,Rutgers,Rutgers
Midwest,Houston,Houston,Houston,Houston,Houston
Midwest,Houston,Houston,Houston,Houston,Cleveland St.
