Region,Regional Champ,Regional Final,Regional Semifinals,Second Round,First Round
West,Gonzaga,Gonzaga,Gonzaga,Gonzaga,Gonzaga
West,Gonzaga,Gonzaga,Gonzaga,Gonzaga,Norfolk State
West,Gonzaga,Gonzaga,Gonzaga,Oklahoma,Oklahoma
West,Gonzaga,Gonzaga,Gonzaga,Oklahoma,Missouri
West,Gonzaga,Gonzaga,Creighton,Creighton,Creighton
West,Gonzaga,Gonzaga,Creighton,Creighton,UCSB
West,Gonzaga,Gonzaga,Creighton,Ohio,Virginia
West,Gonzaga,Gonzaga,Creighton,Ohio,Ohio
West,Gonzaga,Kansas,Kansas,USC,USC
West,Gonzaga,Kansas,Kansas,USC,Drake
West,Gonzaga,Kansas,Kansas,Kansas,Kansas
West,Gonzaga,Kansas,Kansas,Kansas,Eastern Washington
West,Gonzaga,Kansas,Iowa,VCU,Oregon
West,Gonzaga,Kansas,Iowa,VCU,VCU
West,Gonzaga,Kansas,Iowa,Iowa,Iowa
West,Gonzaga,Kansas,Iowa,Iowa,Grand Canyon
East,BYU,Michigan,Michigan,Michigan,Michigan
East,BYU,Michigan,Michigan,Michigan,Texas Southern
East,BYU,Michigan,Michigan,LSU,LSU
East,BYU,Michigan,Michigan,LSU,St. Bonaventure
East,BYU,Michigan,Georgetown,Georgetown,Colorado
East,BYU,Michigan,Georgetown,Georgetown,Georgetown
East,BYU,Michigan,Georgetown,Florida St.,Florida St.
East,BYU,Michigan,Georgetown,Florida St.,UNC Greensboro
East,BYU,BYU,BYU,BYU,BYU
East,BYU,BYU,BYU,BYU,UCLA
East,BYU,BYU,BYU,Texas,Texas
East,BYU,BYU,BYU,Texas,Abil. Christian
East,BYU,BYU,Alabama,Maryland,Uconn
East,BYU,BYU,Alabama,Maryland,Maryland
East,BYU,BYU,Alabama,Alabama,Alabama
East,BYU,BYU,Alabama,Alabama,Iona
South,Ohio St.,Villanova,Baylor,Baylor,Baylor
South,Ohio St.,Villanova,Baylor,Baylor,Hartford
South,Ohio St.,Villanova,Baylor,Wisconsin,North Carolina
South,Ohio St.,Villanova,Baylor,Wisconsin,Wisconsin
South,Ohio St.,Villanova,Villanova,Villanova,Villanova
South,Ohio St.,Villanova,Villanova,Villanova,Winthrop
South,Ohio St.,Villanova,Villanova,Purdue,Purdue
South,Ohio St.,Villanova,Villanova,Purdue,North Texas
South,Ohio St.,Ohio St.,Texas Tech,Texas Tech,Texas Tech
South,Ohio St.,Ohio St.,Texas Tech,Texas Tech,Utah St.
South,Ohio St.,Ohio St.,Texas Tech,Arkansas,Arkansas
South,Ohio St.,Ohio St.,Texas Tech,Arkansas,Colgate
South,Ohio St.,Ohio St.,Ohio St.,Virginia Tech,Florida
South,Ohio St.,Ohio St.,Ohio St.,Virginia Tech,Virginia Tech
South,Ohio St.,Ohio St.,Ohio St.,Ohio St.,Ohio St.
South,Ohio St.,Ohio St.,Ohio St.,Ohio St.,Oral Roberts
Midwest,Oklahoma St.,Oklahoma St.,Illinois,Illinois,Illinois
Midwest,Oklahoma St.,Oklahoma St.,Illinois,Illinois,Drexel
Midwest,Oklahoma St.,Oklahoma St.,Illinois,Georgia Tech,Loyola Chicago
Midwest,Oklahoma St.,Oklahoma St.,Illinois,Georgia Tech,Georgia Tech
Midwest,Oklahoma St.,Oklahoma St.,Oklahoma St.,Tennessee,Tennessee
Midwest,Oklahoma St.,Oklahoma St.,Oklahoma St.,Tennessee,Oregon St.
Midwest,Oklahoma St.,Oklahoma St.,Oklahoma St.,Oklahoma St.,Oklahoma St.
Midwest,Oklahoma St.,Oklahoma St.,Oklahoma St.,Oklahoma St.,Liberty
Midwest,Oklahoma St.,Houston,West Virginia,Syracuse,San Diego St.
Midwest,Oklahoma St.,Houston,West Virginia,Syracuse,Syracuse
Midwest,Oklahoma St.,Houston,West Virginia,West Virginia,West Virginia
Midwest,Oklahoma St.,Houston,West Virginia,West Virginia,Morehead St.
Midwest,Oklahoma St.,Houston,Houston,Rutgers,Clemson
Midwest,Oklahoma St.,Houston,Houston,Rutgers,Rutgers
Midwest,Oklahoma St.,Houston,Houston,Houston,Houston
Midwest,Oklahoma St.,Houston,Houston,Houston,Cleveland St.
